method,game,iter,reward
brute,airstriker,602,440
brute,airstriker,603,660
brute,airstriker,604,640
brute,airstriker,605,960
brute,airstriker,606,840
brute,airstriker,607,920
brute,airstriker,608,520
brute,airstriker,609,540
brute,airstriker,610,400
brute,airstriker,611,940
brute,airstriker,612,940
brute,airstriker,613,940
brute,airstriker,614,600
brute,airstriker,615,360
brute,airstriker,616,160
brute,airstriker,617,480
brute,airstriker,618,320
brute,airstriker,619,180
brute,airstriker,620,140
brute,airstriker,621,520
brute,airstriker,622,260
brute,airstriker,623,160
brute,airstriker,624,960
brute,airstriker,625,960
brute,airstriker,626,180
brute,airstriker,627,640
brute,airstriker,628,940
brute,airstriker,629,400
brute,airstriker,630,980
brute,airstriker,631,980
brute,airstriker,632,100
brute,airstriker,633,240
brute,airstriker,634,380
brute,airstriker,635,580
brute,airstriker,636,980
brute,airstriker,637,200
brute,airstriker,638,240
brute,airstriker,639,980
brute,airstriker,640,940
brute,airstriker,641,960
brute,airstriker,642,440
brute,airstriker,643,420
brute,airstriker,644,940
brute,airstriker,645,520
brute,airstriker,646,480
brute,airstriker,647,940
brute,airstriker,648,980
brute,airstriker,649,480
brute,airstriker,650,200
brute,airstriker,651,260
brute,airstriker,652,480
brute,airstriker,653,940
brute,airstriker,654,520
brute,airstriker,655,980
brute,airstriker,656,660
brute,airstriker,657,620
brute,airstriker,658,980
brute,airstriker,659,420
brute,airstriker,660,420
brute,airstriker,661,940
brute,airstriker,662,180
brute,airstriker,663,480
brute,airstriker,664,920
brute,airstriker,665,100
brute,airstriker,666,400
brute,airstriker,667,160
brute,airstriker,668,980
brute,airstriker,669,260
brute,airstriker,670,540
brute,airstriker,671,960
brute,airstriker,672,700
brute,airstriker,673,560
brute,airstriker,674,460
brute,airstriker,675,180
brute,airstriker,676,920
brute,airstriker,677,680
brute,airstriker,678,940
brute,airstriker,679,960
brute,airstriker,680,940
brute,airstriker,681,260
brute,airstriker,682,240
brute,airstriker,683,440
brute,airstriker,684,940
brute,airstriker,685,860
brute,airstriker,686,640
brute,airstriker,687,320
brute,airstriker,688,160
brute,airstriker,689,160
brute,airstriker,690,780
brute,airstriker,691,680
brute,airstriker,692,480
brute,airstriker,693,140
brute,airstriker,694,220
brute,airstriker,695,300
brute,airstriker,696,220
brute,airstriker,697,380
brute,airstriker,698,440
brute,airstriker,699,920
brute,airstriker,700,980
brute,airstriker,701,160
brute,airstriker,702,540
brute,airstriker,703,220
brute,airstriker,704,980
brute,airstriker,705,980
brute,airstriker,706,880
brute,airstriker,707,980
brute,airstriker,708,280
brute,airstriker,709,360
brute,airstriker,710,280
brute,airstriker,711,600
brute,airstriker,712,980
brute,airstriker,713,980
brute,airstriker,714,980
brute,airstriker,715,960
brute,airstriker,716,500
brute,airstriker,717,360
brute,airstriker,718,680
brute,airstriker,719,980
brute,airstriker,720,180
brute,airstriker,721,180
brute,airstriker,722,1000
brute,airstriker,723,980
brute,airstriker,724,200
brute,airstriker,725,1020
brute,airstriker,726,520
brute,airstriker,727,240
brute,airstriker,728,380
brute,airstriker,729,160
brute,airstriker,730,700
brute,airstriker,731,740
brute,airstriker,732,960
brute,airstriker,733,720
brute,airstriker,734,660
brute,airstriker,735,1020
brute,airstriker,736,940
brute,airstriker,737,960
brute,airstriker,738,960
brute,airstriker,739,380
brute,airstriker,740,840
brute,airstriker,741,820
brute,airstriker,742,1020
brute,airstriker,743,860
brute,airstriker,744,660
brute,airstriker,745,1020
brute,airstriker,746,240
brute,airstriker,747,660
brute,airstriker,748,940
brute,airstriker,749,900
brute,airstriker,750,900
brute,airstriker,751,460
brute,airstriker,752,900
brute,airstriker,753,420
brute,airstriker,754,700
brute,airstriker,755,1020
brute,airstriker,756,480
brute,airstriker,757,600
brute,airstriker,758,580
brute,airstriker,759,920
brute,airstriker,760,640
brute,airstriker,761,200
brute,airstriker,762,960
brute,airstriker,763,1020
brute,airstriker,764,740
brute,airstriker,765,1020
brute,airstriker,766,900
brute,airstriker,767,120
brute,airstriker,768,500
brute,airstriker,769,640
brute,airstriker,770,560
brute,airstriker,771,660
brute,airstriker,772,580
brute,airstriker,773,240
brute,airstriker,774,360
brute,airstriker,775,240
brute,airstriker,776,480
brute,airstriker,777,960
brute,airstriker,778,420
brute,airstriker,779,940
brute,airstriker,780,440
brute,airstriker,781,1020
brute,airstriker,782,1020
brute,airstriker,783,480
brute,airstriker,784,700
brute,airstriker,785,500
brute,airstriker,786,400
brute,airstriker,787,660
brute,airstriker,788,800
brute,airstriker,789,1020
brute,airstriker,790,360
brute,airstriker,791,680
brute,airstriker,792,1020
brute,airstriker,793,620
brute,airstriker,794,1020
brute,airstriker,795,620
brute,airstriker,796,760
